gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
m6105,1,1,Frightened voice,S-Stay away! STAY AWAY!,S-Stay away! STAY AWAY!,怯える声,く、来るな！　来るなあああ──！！,<S5>く、来るな！　来るなあああ──！！,,
m6105,5,108,Hunter,"We just got unlucky! If you went up against Marduk right from the start, you would've lost, too!","We just got unlucky! If you went up against Marduk<br/>right from the start, you would've lost, too!",猟兵,確かにオレたちは負けたが、それは相手の マルドゥック社の強さが別格なだけだ！,確かにオレたちは負けたが、それは相手の<br/>マルドゥック社の強さが別格なだけだ！,,
m6105,5,109,Hunter,We would've kicked your asses if we ran into you instead!,We would've kicked your asses if we ran into<br/>you instead!,猟兵,そこいらの連中に後れを取るつもりはない！,そこいらの連中に後れを取るつもりはない！,,
m6105,5,110,Van,Them's fightin' words. Wanna prove it?,Them's fightin' words. Wanna prove it?,ヴァン,だったら証明してもらおうか？,だったら証明してもらおうか？,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,5,111,Hunter,"...Fine. Your funeral, punk.","...Fine. Your funeral, punk.",猟兵,……いいだろう。 俺たちもこのまま帰るのが癪だからな。,……いいだろう。<br/>俺たちもこのまま帰るのが癪だからな。,,
m6105,5,112,Hunter,We'll return home with your head on a pike!,We'll return home with your head on a pike!,猟兵,貴様の条件に乗ってやろう！,貴様の条件に乗ってやろう！,,
m6105,5,113,Van,"Yeah, don't think so.","Yeah, don't think so.",ヴァン,そりゃどうも。,そりゃどうも。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,5,114,Aaron,"Bring it on, losers!","Bring it on, losers!",アーロン,ハッ、そう来なくっちゃな！,ハッ、そう来なくっちゃな！,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m6105,5,115,Ferry,Commencing battle with the Scorpions of Zahat!,Commencing battle with the Scorpions of Zahat!,フェリ,敵集団《ザハトの蠍》──交戦を開始します！,敵集団《ザハトの蠍》──交戦を開始します！,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m6105,6,116,Hunter,Urgh... Maybe we...didn't really stand a chance in this game...,Urgh... Maybe we...didn't really stand a chance in<br/>this game...,猟兵,クッ……俺たちが一日目で脱落したのは 偶然ではなかったということか……,クッ……俺たちが一日目で脱落したのは<br/>偶然ではなかったということか……,,
m6105,6,117,Hunter,We should've brought more firepower!,We should've brought more firepower!,猟兵,もっと戦力を連れてくるべきだった……！,もっと戦力を連れてくるべきだった……！,,
m6105,6,118,Van,I feel for you guys. Goin' up against Marduk right at the start must've been tough.,I feel for you guys. Goin' up against Marduk right at<br/>the start must've been tough.,ヴァン,さすがにいきなりマルドゥックと当たったのは 運が悪かったと思うがな。,さすがにいきなりマルドゥックと当たったのは<br/>運が悪かったと思うがな。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,6,119,Van,"This ain't your home turf, either. You guys got the raw end of the deal.","This ain't your home turf, either. You guys got the<br/>raw end of the deal.",ヴァン,アンタらもホームグランドから遠い分、 色々とやりづらかっただろ。,アンタらもホームグランドから遠い分、<br/>色々とやりづらかっただろ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,6,120,Hunter,"In any event, you won fair and square. The girl is yours.","In any event, you won fair and square. The girl<br/>is yours.",猟兵,……約束は守る、女を連れて行け。,……約束は守る、女を連れて行け。,,
m6105,6,121,Van,Cool.,Cool.,ヴァン,そうさせてもらうぜ。,そうさせてもらうぜ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,6,122,Van,We'll come up with a story to cover you guys.,We'll come up with a story to cover you guys.,ヴァン,一応アンタらのことは理由を付けて 誤魔化しておくから心配するな。,一応アンタらのことは理由を付けて<br/>誤魔化しておくから心配するな。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m6105,6,123,Hunter,...Thank you.,...Thank you.,猟兵,そうか……,そうか……,,
