gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
m7600,1,1,Agnes,...!,...!,アニエス,……！,"<audio id=""v01_60139""><source src=""talk/11/v01_60139.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60139').play()"">……！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7600,1,57,Aaron,Get outta here!,Get outta here!,アーロン,……フザけんな……ッ……！,"<audio id=""v03_60103""><source src=""talk/11/v03_60103.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v03_60103').play()"">……フザけんな……ッ……！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7600,1,58,Agnes,Yes! Will you kindly disappear already?!,Yes! Will you kindly disappear already?!,アニエス,そうです── ふざけないで下さいっ……！！,"<audio id=""v01_60147""><source src=""talk/11/v01_60147.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60147').play()"">そうです──<br/>ふざけないで下さいっ……！！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7600,1,59,Agnes,We were talking to Van—not you!,We were talking to Van—not you!,アニエス,私たちはヴァンさんと 話しているんです……！,"<audio id=""v01_60148""><source src=""talk/11/v01_60148.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60148').play()"">私たちはヴァンさんと<br/>話しているんです……！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7600,1,60,Agnes,We don't care about you in the slightest!,We don't care about you in the slightest!,アニエス,貴方が何者かはどうでもいい</B>──,"<audio id=""v01_60149""><source src=""talk/11/v01_60149.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60149').play()"">貴方が何者かはどうでもいい</B>──</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7600,1,61,Agnes,So get out of our sight...and return Van to us at once!,So get out of our sight...and return Van to us at once!,アニエス,どうか私たちの元に ヴァンさんを返してください……！！,"<audio id=""v01_60150""><source src=""talk/11/v01_60150.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60150').play()"">どうか私たちの元に<br/>ヴァンさんを返してください……！！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7600,1,62,Ferry,The Geneses are reacting?!,The Geneses are reacting?!,フェリ,ゲ、ゲネシスが！？,"<audio id=""v02_60098""><source src=""talk/11/v02_60098.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v02_60098').play()"">ゲ、ゲネシスが！？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7600,1,63,Judith,Wh-What's happening now?,Wh-What's happening now?,ジュディス,な、なんなのよ……！？,"<audio id=""v06_60090""><source src=""talk/11/v06_60090.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v06_60090').play()"">な、なんなのよ……！？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m7600,1,64,,...,...,,─────ツ─────,"<audio id=""v39_60006""><source src=""talk/11/v39_60006.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v39_60006').play()"">─────ツ─────</a>",,
m7600,1,65,,\\u3000\\u3000I SEE. SO YOU HAVE THEIR POWER AT YOUR DISPOSAL. THAT EXPLAINS HOW \\u3000THAT ㌍㌫㌻ WAS ABLE TO BIND ME.,\\u3000\\u3000I SEE. SO YOU HAVE THEIR POWER<br/>AT YOUR DISPOSAL. THAT EXPLAINS HOW<br/>\\u3000THAT ㌍㌫㌻ WAS ABLE TO BIND ME.,,　　　───成程、彼ノ者ガ拵エシ絡繰カ─── ───道理デ㌍㌫㌻ノ“枷”ナドヲ許シタワケダ───,"<audio id=""v39_60007""><source src=""talk/11/v39_60007.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v39_60007').play()"">　　　───成程、彼ノ者ガ拵エシ絡繰カ───<br/>───道理デ㌍㌫㌻ノ“枷”ナドヲ許シタワケダ───</a>",,
m7600,1,66,Quatre,I think the Geneses are having an effect!,I think the Geneses are having an effect!,カトル,き、効いてる……！？,"<audio id=""v05_60091""><source src=""talk/11/v05_60091.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v05_60091').play()"">き、効いてる……！？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7600,1,67,Lisette,Yes. I can confirm that its strength has decreased.,Yes. I can confirm that its strength has decreased.,リゼット,ええ……霊圧が低下しました！,"<audio id=""v04_60100""><source src=""talk/11/v04_60100.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v04_60100').play()"">ええ……霊圧が低下しました！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7600,1,68,Agnes,Good. I think Van's body is still somewhere inside of it.,Good. I think Van's body is still somewhere inside<br/>of it.,アニエス,多分、ヴァンさんは あの身体の中心にいます……！,"<audio id=""v01_60151""><source src=""talk/11/v01_60151.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60151').play()"">多分、ヴァンさんは<br/>あの身体の中心にいます……！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7600,1,69,Agnes,We just need to weaken it a little more...,We just need to weaken it a little more...,アニエス,“この人”からの干渉を 少しでも弱められればきっと……！,"<audio id=""v01_60152""><source src=""talk/11/v01_60152.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60152').play()"">“この人”からの干渉を<br/>少しでも弱められればきっと……！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7600,1,70,Aaron,"Ugh. Just let me at it, already! I'll rip it to shreds!","Ugh. Just let me at it, already! I'll rip it to shreds!",アーロン,ッ……よく分からんが……！！,"<audio id=""v03_60104""><source src=""talk/11/v03_60104.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v03_60104').play()"">ッ……よく分からんが……！！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7600,1,71,Bellegarde,Our odds of victory have increased exponentially!,Our odds of victory have increased exponentially!,ベルガルド,そういう事ならば勝機もあろう──！！,"<audio id=""v07_60090""><source src=""talk/11/v07_60090.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v07_60090').play()"">そういう事ならば勝機もあろう──！！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7600,1,72,,MANY EONS HAVE PASSED SINCE I LAST \\u3000ENTERED THE REALM OF MORTALS.,MANY EONS HAVE PASSED SINCE I LAST<br/>\\u3000ENTERED THE REALM OF MORTALS.,,───ヨカロウ、久方ブリノ現界ダ───,"<audio id=""v39_60008""><source src=""talk/11/v39_60008.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v39_60008').play()"">───ヨカロウ、久方ブリノ現界ダ───</a>",,
m7600,1,73,,"I WILL STRIKE DOWN ALL THAT STAND IN MY WAY. \\u3000FACE THE ABYSS, INSIGNIFICANT HUMANS.","I WILL STRIKE DOWN ALL THAT STAND IN MY WAY.<br/>\\u3000FACE THE ABYSS, INSIGNIFICANT HUMANS.",,───小サキ者ドモヨ、打チ震エルガイイ───,"<audio id=""v39_60009""><source src=""talk/11/v39_60009.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v39_60009').play()"">───小サキ者ドモヨ、打チ震エルガイイ───</a>",,
m7600,1,74,Ferry,We'll show you who's insignificant!,We'll show you who's insignificant!,フェリ,っ…… 小さくても意地があるんですっ！！,"<audio id=""v02_60099""><source src=""talk/11/v02_60099.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v02_60099').play()"">っ……<br/>小さくても意地があるんですっ！！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7600,1,75,Judith,Your first and last mistake...is underestimating us humans!,Your first and last mistake...is underestimating<br/>us humans!,ジュディス,人間（あたしたち）の意地と力、 せいぜい味わってみなさい──！！,"<audio id=""v06_60091""><source src=""talk/11/v06_60091.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v06_60091').play()"">人間（あたしたち）の意地と力、<br/>せいぜい味わってみなさい──！！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m7600,2,76,Quatre,A crack appeared!,A crack appeared!,カトル,……！　亀裂が……！,"<audio id=""v05_60092""><source src=""talk/11/v05_60092.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v05_60092').play()"">……！　亀裂が……！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7600,2,77,Agnes,Yes! Maybe Van can—,Yes! Maybe Van can—,アニエス,良かった、これで……！,"<audio id=""v01_60153""><source src=""talk/11/v01_60153.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60153').play()"">良かった、これで……！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7600,2,78,,OOOOOOOOOH!,OOOOOOOOOH!,,───オオオオオオオオ────,"<audio id=""v39_60010""><source src=""talk/11/v39_60010.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v39_60010').play()"">───オオオオオオオオ────</a>",,
m7600,2,79,,INSOLENT VESSEL. YOU DARE \\u3000\\u3000\\u3000OPPOSE ME?!,INSOLENT VESSEL. YOU DARE<br/>\\u3000\\u3000\\u3000OPPOSE ME?!,,───依代ヨ、刃向カウツモリカ───,"<audio id=""v39_60011""><source src=""talk/11/v39_60011.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v39_60011').play()"">───依代ヨ、刃向カウツモリカ───</a>",,
m7600,2,80,Van's voice,"Oh, I dare, all right! I'm bustin' outta here!","Oh, I dare, all right! I'm bustin' outta here!",ヴァンの声,たりめーだこのボケがああああっ！！！,"<audio id=""v00_60208""><source src=""talk/11/v00_60208.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60208').play()"">たりめーだこのボケがああああっ！！！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7600,2,81,Ferry,Van!,Van!,フェリ,ヴァンさんっ……！！,"<audio id=""v02_60100""><source src=""talk/11/v02_60100.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v02_60100').play()"">ヴァンさんっ……！！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7600,2,82,Lisette,Thank goodness!,Thank goodness!,リゼット,よくぞご無事で……！,"<audio id=""v04_60101""><source src=""talk/11/v04_60101.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v04_60101').play()"">よくぞご無事で……！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7600,2,83,Bellegarde,Can you still fight?,Can you still fight?,ベルガルド,ム──動けるか！？,"<audio id=""v07_60091""><source src=""talk/11/v07_60091.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v07_60091').play()"">ム──動けるか！？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7600,2,84,Van,Hell yeah. I'm in top form. Got a lot I wanna say to y'all...,Hell yeah. I'm in top form. Got a lot I wanna say<br/>to y'all...,ヴァン,ええ、大丈夫です……！ 色々言いたいこともあるが──,"<audio id=""v00_60209""><source src=""talk/11/v00_60209.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60209').play()"">ええ、大丈夫です……！<br/>色々言いたいこともあるが──</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7600,2,85,Van,"...but that can wait. We got a demon lord to slay, and I'm gonna need everyone's help to do it. Can you gimme a hand?!","...but that can wait. We got a demon lord to slay,<br/>and I'm gonna need everyone's help to do it.<br/>Can you gimme a hand?!",ヴァン,まさに千載一遇ってヤツだ！ お前ら、どうか力を貸してくれ！！,"<audio id=""v00_60210""><source src=""talk/11/v00_60210.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60210').play()"">まさに千載一遇ってヤツだ！<br/>お前ら、どうか力を貸してくれ！！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7600,2,86,Quatre,Do you even have to ask?,Do you even have to ask?,カトル,もちろんだよ……！！,"<audio id=""v05_60093""><source src=""talk/11/v05_60093.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v05_60093').play()"">もちろんだよ……！！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7600,2,87,Judith,"Since we're so nice, we'll do it on the house!","Since we're so nice, we'll do it on the house!",ジュディス,貸し借り抜きの大サービスでね！！,"<audio id=""v06_60092""><source src=""talk/11/v06_60092.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v06_60092').play()"">貸し借り抜きの大サービスでね！！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m7600,2,88,Lisette,Leave all your support needs to me!,Leave all your support needs to me!,リゼット,援護その他、お任せを……！！,"<audio id=""v04_60102""><source src=""talk/11/v04_60102.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v04_60102').play()"">援護その他、お任せを……！！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7600,2,89,Agnes,"Here, Van. Catch!","Here, Van. Catch!",アニエス,ヴァンさん、これを……！,"<audio id=""v01_60154""><source src=""talk/11/v01_60154.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60154').play()"">ヴァンさん、これを……！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7600,2,90,Van,Thanks! Mare!,Thanks! Mare!,ヴァン,ッ……悪いな！ ──メア！！,"<audio id=""v00_60211""><source src=""talk/11/v00_60211.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60211').play()"">ッ……悪いな！<br/>──メア！！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7600,2,91,Mare,"Well, look who's back. Just say the word, and I'll do my thing!","Well, look who's back. Just say the word, and I'll do<br/>my thing!",メア,まったく…… こっちは何時でも行けるわよ！,"<audio id=""v08_60015""><source src=""talk/11/v08_60015.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v08_60015').play()"">まったく……<br/>こっちは何時でも行けるわよ！</a>",,
m7600,2,92,Van,Okay. Let's do this!,Okay. Let's do this!,ヴァン,ああ、頼んだ！,"<audio id=""v00_60212""><source src=""talk/11/v00_60212.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60212').play()"">ああ、頼んだ！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7600,2,93,Aaron,"Heh. I think it's time for the big, bad demon lord to kiss its ass goodbye! What do you say, Van?","Heh. I think it's time for the big, bad demon lord to<br/>kiss its ass goodbye! What do you say, Van?",アーロン,ハッ……そんじゃあ改めて “魔王退治”と行くかよ？,"<audio id=""v03_60105""><source src=""talk/11/v03_60105.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v03_60105').play()"">ハッ……そんじゃあ改めて<br/>“魔王退治”と行くかよ？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7600,2,94,Van,Yeah...,Yeah...,ヴァン,ああ──……,"<audio id=""v00_60213""><source src=""talk/11/v00_60213.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60213').play()"">ああ──……</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7600,2,95,,YOU TRULY ARE...AN IGNORANT VESSEL.,YOU TRULY ARE...AN IGNORANT VESSEL.,,───依代ヨ、愚カナリ────,"<audio id=""v39_60012""><source src=""talk/11/v39_60012.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v39_60012').play()"">───依代ヨ、愚カナリ────</a>",,
m7600,2,96,,"IF YOU THINK YOU CAN ESCAPE ME, \\u3000YOU ARE SORELY MISTAKEN.","IF YOU THINK YOU CAN ESCAPE ME,<br/>\\u3000YOU ARE SORELY MISTAKEN.",,───我カラ逃レラレルト思ワヌコトダ───,"<audio id=""v39_60013""><source src=""talk/11/v39_60013.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v39_60013').play()"">───我カラ逃レラレルト思ワヌコトダ───</a>",,
m7600,2,97,Van,"In some ways, that thing's an extension of myself.","In some ways, that thing's an extension of myself.",ヴァン,………ある意味、あれも俺自身だ。,"<audio id=""v00_60214""><source src=""talk/11/v00_60214.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60214').play()"">………ある意味、あれも俺自身だ。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7600,2,98,Van,If you guys've got any pent-up anger toward me... then let it loose on that thing instead!,If you guys've got any pent-up anger toward me...<br/>then let it loose on that thing instead!,ヴァン,俺にぶつけるつもりだった怒り、 全力でブチかましてやれ──！！,"<audio id=""v00_60215""><source src=""talk/11/v00_60215.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60215').play()"">俺にぶつけるつもりだった怒り、<br/>全力でブチかましてやれ──！！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7600,2,99,Ferry,Will do!,Will do!,フェリ,了解（ウーラ）っ……！！！,"<audio id=""v02_60101""><source src=""talk/11/v02_60101.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v02_60101').play()"">了解（ウーラ）っ……！！！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7600,2,100,Agnes,We won't allow you to hurt anyone else. Prepare to meet your end!,We won't allow you to hurt anyone else. Prepare to<br/>meet your end!,アニエス,──今回ばかりは 遠慮なく行かせてもらいます！！,"<audio id=""v01_60155""><source src=""talk/11/v01_60155.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60155').play()"">──今回ばかりは<br/>遠慮なく行かせてもらいます！！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7600,3,101,,URRRRRRRRGH!,URRRRRRRRGH!,,────オオオオオオオオオオオ────,"<audio id=""v39_60014""><source src=""talk/11/v39_60014.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v39_60014').play()"">────オオオオオオオオオオオ────</a>",,
m7600,3,102,,"HOW COULD THIS BE? EVEN IN MY WEAKENED STATE, \\u3000\\u3000\\u3000\\u3000I SHOULD NOT HAVE BEEN BESTED.","HOW COULD THIS BE? EVEN IN MY WEAKENED STATE,<br/>\\u3000\\u3000\\u3000\\u3000I SHOULD NOT HAVE BEEN BESTED.",,　　　　　 ────有リ得ヌ───── ────イカニ“枷”ト絡繰ガ有ルトハイエ────,"<audio id=""v39_60015""><source src=""talk/11/v39_60015.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v39_60015').play()"">　　　　　 ────有リ得ヌ─────<br/>────イカニ“枷”ト絡繰ガ有ルトハイエ────</a>",,
m7600,3,103,Van/Grendel,"Well, you were, so suck it up. No one likes a sore loser.","Well, you were, so suck it up. No one likes a<br/>sore loser.",ヴァン／グレンデル,ま、今回はてめえの“負け”だ。,"<audio id=""v00_60216""><source src=""talk/11/v00_60216.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60216').play()"">ま、今回はてめえの“負け”だ。</a>",,
m7600,3,104,Van/Grendel,"'Fraid I'm just not ready to give in to you yet. My body and soul are still mine, so do me a favor and scram.","'Fraid I'm just not ready to give in to you yet.<br/>My body and soul are still mine, so do me a favor<br/>and scram.",ヴァン／グレンデル,まだ呉（く）れてやるわけにはいかねえな。 ───この身体も、魂も。,"<audio id=""v00_60217""><source src=""talk/11/v00_60217.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60217').play()"">まだ呉（く）れてやるわけにはいかねえな。<br/>───この身体も、魂も。</a>",,
m7600,3,105,,...,...,,──────────────,"<audio id=""v39_60016""><source src=""talk/11/v39_60016.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v39_60016').play()"">──────────────</a>",,
m7600,3,106,,VERY WELL. I SHALL RETREAT FOR THE \\u3000\\u3000\\u3000\\u3000\\u3000\\u3000TIME BEING.,VERY WELL. I SHALL RETREAT FOR THE<br/>\\u3000\\u3000\\u3000\\u3000\\u3000\\u3000TIME BEING.,,────ヨカロウ、此度ハ退コウ────,"<audio id=""v39_60017""><source src=""talk/11/v39_60017.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v39_60017').play()"">────ヨカロウ、此度ハ退コウ────</a>",,
m7600,3,107,,BUT REMEMBER THIS: YOU AND I ARE ONE AND THE SAME—AND WE ALWAYS WILL BE.,BUT REMEMBER THIS: YOU AND I ARE ONE<br/>AND THE SAME—AND WE ALWAYS WILL BE.,,─────サレド我ト汝ハ何処マデモ同ジ─────,"<audio id=""v39_60018""><source src=""talk/11/v39_60018.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v39_60018').play()"">─────サレド我ト汝ハ何処マデモ同ジ─────</a>",,
m7600,3,108,,"AS LONG AS YOU LIVE, YOU WILL NEVER KNOW PEACE. \\u3000\\u3000\\u3000\\u3000YOU HAD BEST NOT FORGET THAT.","AS LONG AS YOU LIVE, YOU WILL NEVER KNOW PEACE.<br/>\\u3000\\u3000\\u3000\\u3000YOU HAD BEST NOT FORGET THAT.",,　　　 ─────ユメ忘レルナ───── ──────汝ニ安息ナド無イコトヲ──────,"<audio id=""v39_60019""><source src=""talk/11/v39_60019.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v39_60019').play()"">　　　 ─────ユメ忘レルナ─────<br/>──────汝ニ安息ナド無イコトヲ──────</a>",,
m7600,3,109,Agnes,...!,...!,アニエス,っ……！,"<audio id=""v01_60156""><source src=""talk/11/v01_60156.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60156').play()"">っ……！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7600,3,110,Bellegarde,It's the diabolic core.,It's the diabolic core.,ベルガルド,……“魔核”か………,"<audio id=""v07_60092""><source src=""talk/11/v07_60092.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v07_60092').play()"">……“魔核”か………</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7600,3,111,Ferry,Wha...?! Don't touch that!,Wha...?! Don't touch that!,フェリ,！？……ダ、ダメですっ！,"<audio id=""v02_60102""><source src=""talk/11/v02_60102.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v02_60102').play()"">！？……ダ、ダメですっ！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7600,3,112,Judith,We are NOT doing a repeat of last time!,We are NOT doing a repeat of last time!,ジュディス,アンタ、まさかまたっ……！,"<audio id=""v06_60093""><source src=""talk/11/v06_60093.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v06_60093').play()"">アンタ、まさかまたっ……！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m7600,3,113,Van/Grendel,Don't worry. I'm just putting this where it belongs.,Don't worry. I'm just putting this where it belongs.,ヴァン／グレンデル,いや──折角の場所だ。,"<audio id=""v00_60218""><source src=""talk/11/v00_60218.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60218').play()"">いや──折角の場所だ。</a>",,
m7600,3,114,Van/Grendel,RRAAAAAAAAAH!,RRAAAAAAAAAH!,ヴァン／グレンデル,おおおおおおおおおおっ！！,"<audio id=""v00_60219""><source src=""talk/11/v00_60219.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60219').play()"">おおおおおおおおおおっ！！</a>",,
m7600,3,115,Lisette,...,...,リゼット,あ……,"<audio id=""v04_60103""><source src=""talk/11/v04_60103.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v04_60103').play()"">あ……</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7600,3,116,Aaron,H-He threw the damn thing?!,H-He threw the damn thing?!,アーロン,な、投げやがった……！？,"<audio id=""v03_60106""><source src=""talk/11/v03_60106.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v03_60106').play()"">な、投げやがった……！？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7600,3,117,Agnes,Oh...,Oh...,アニエス,………ぁ………………,"<audio id=""v01_60157""><source src=""talk/11/v01_60157.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60157').play()"">………ぁ………………</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7600,3,118,Quatre,"Is it...finally over, then?","Is it...finally over, then?",カトル,終わっ……た……？,"<audio id=""v05_60094""><source src=""talk/11/v05_60094.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v05_60094').play()"">終わっ……た……？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
