gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
a0601,1,1,CHR_THIS,"Still, you don't hear about monsters attacking buses very often lately.","Still, you don't hear about monsters attacking buses<br/>very often lately.",CHR_THIS,それにしても、バスが魔獣に襲われるとは 最近じゃ珍しいな。,それにしても、バスが魔獣に襲われるとは<br/>最近じゃ珍しいな。,,
a0601,14,89,CHR_THIS,"My husband’s a slob, but even so, he can grow a pumpkin that’s far better than you’ll find in your average shop.","My husband’s a slob, but even so, he can grow a<br/>pumpkin that’s far better than you’ll find in your<br/>average shop.",CHR_THIS,うちのだらしない亭主が作るカボチャでさえ、 そこいらの品よりは質が良いっていうし。,うちのだらしない亭主が作るカボチャでさえ、<br/>そこいらの品よりは質が良いっていうし。,,
a0601,15,90,CHR_THIS,"Kent! I know you're pleased to have found a crab, but calm down a little, won't you?","Kent! I know you're pleased to have found a crab, but<br/>calm down a little, won't you?",CHR_THIS,ケント、カニを見つけて嬉しいのは判るけど、 もう少し落ち着いて……,ケント、カニを見つけて嬉しいのは判るけど、<br/>もう少し落ち着いて……,,
a0601,15,91,CHR_THIS,"I don't want to slipping and hitting yourself against a rock... Ugh, just the thought of it sends a chill down my spine...","I don't want to slipping and hitting yourself against<br/>a rock... Ugh, just the thought of it sends a chill down<br/>my spine...",CHR_THIS,滑って岩にぶつけでもしたら危ないんだから…… うう、ひやひやするよ……,滑って岩にぶつけでもしたら危ないんだから……<br/>うう、ひやひやするよ……,,
a0601,15,92,CHR_THIS,"I do envy my little brother's energy and curosity from time to time, but...","I do envy my little brother's energy and curosity from<br/>time to time, but...",CHR_THIS,弟の元気さとか好奇心が 羨ましくなる時もあるけど……,弟の元気さとか好奇心が<br/>羨ましくなる時もあるけど……,,
a0601,15,93,CHR_THIS,"The other week, he got these really scary-looking people to play with him... That was a worrying reminder of how fearless he really is.","The other week, he got these really scary-looking<br/>people to play with him... That was a worrying<br/>reminder of how fearless he really is.",CHR_THIS,先々週に怖そうな人たちに遊んでもらった時は、 流石に怖いもの知らずだなって思ったよ……,先々週に怖そうな人たちに遊んでもらった時は、<br/>流石に怖いもの知らずだなって思ったよ……,,
a0601,16,94,CHR_THIS,No way! There really was a freshwater crab here.,No way! There really was a freshwater crab here.,CHR_THIS,いたいた、本当にいたよサワガニ！,いたいた、本当にいたよサワガニ！,,
a0601,16,95,CHR_THIS,It was hiding in the exact spot the fisherman told me it would be!,It was hiding in the exact spot the fisherman told me<br/>it would be!,CHR_THIS,釣りのお兄ちゃんが言ってた通りの ところに隠れてる！,釣りのお兄ちゃんが言ってた通りの<br/>ところに隠れてる！,,
a0601,16,96,CHR_THIS,"I see killifish ALL the time, but it turns out that all these creatures were hiding under the rocks all along!","I see killifish ALL the time, but it turns out that all<br/>these creatures were hiding under the rocks all along!",CHR_THIS,メダカさんはいつも見るけど、岩の下にも色々な 生き物がいるんだね！,メダカさんはいつも見るけど、岩の下にも色々な<br/>生き物がいるんだね！,,
a0601,16,97,CHR_THIS,That fishing guy sure knows his stuff!,That fishing guy sure knows his stuff!,CHR_THIS,釣りのお兄ちゃんは物知りだなぁ！,釣りのお兄ちゃんは物知りだなぁ！,,
a0601,16,98,CHR_THIS,"The other day, I got a whole bunch of jaegers to come and play with me!","The other day, I got a whole bunch of jaegers to come<br/>and play with me!",CHR_THIS,こないだは、たくさんで来た リョーヘーの人たちにもあそんでもらったんだ！,こないだは、たくさんで来た<br/>リョーヘーの人たちにもあそんでもらったんだ！,,
a0601,16,99,CHR_THIS,I thought my dad was strong until I met them. They even picked me up so I could pretend I was an airplane flying through the sky!,I thought my dad was strong until I met them.<br/>They even picked me up so I could pretend I was an<br/>airplane flying through the sky!,CHR_THIS,ボクのパパよりも力持ちで、ボクを持ち上げて 飛行艇ごっこしてくれたりとか！,ボクのパパよりも力持ちで、ボクを持ち上げて<br/>飛行艇ごっこしてくれたりとか！,,
a0601,17,100,CHR_THIS,"Hey there, travelers. Curious about the windmill?","Hey there, travelers. Curious about the windmill?",CHR_THIS,おう、旅行者さん 風車が気になるかい？,おう、旅行者さん<br/>風車が気になるかい？,,
a0601,17,101,CHR_THIS,This thing’s my partner. We use it to thresh wheat.,This thing’s my partner. We use it to thresh wheat.,CHR_THIS,コイツは俺の相棒でな、 小麦の脱穀とかに使ってんだ。,コイツは俺の相棒でな、<br/>小麦の脱穀とかに使ってんだ。,,
a0601,17,102,CHR_THIS,"I mean, fresh veggies and buckwheat galettes are good and all, but bread’s your mainstay, right?","I mean, fresh veggies and buckwheat galettes are<br/>good and all, but bread’s your mainstay, right?",CHR_THIS,野菜も、蕎麦のガレットも美味いが、 やっぱり主食ったらパンだからよ。,野菜も、蕎麦のガレットも美味いが、<br/>やっぱり主食ったらパンだからよ。,,
a0601,17,103,CHR_THIS,"In a sense, we fill the stomach of the whole Republic here.","In a sense, we fill the stomach of the whole<br/>Republic here.",CHR_THIS,ある意味、俺たちが共和国の胃袋を 握ってるようなもんなんだぜ。,ある意味、俺たちが共和国の胃袋を<br/>握ってるようなもんなんだぜ。,,
a0601,17,104,CHR_THIS,"Common farmers like us are proud to grow any crop, but wheat just has a different feel to it.","Common farmers like us are proud to grow any crop,<br/>but wheat just has a different feel to it.",CHR_THIS,俺たち百姓にとっちゃどんな作物でも 育て甲斐があるが、麦は手応えが違う。,俺たち百姓にとっちゃどんな作物でも<br/>育て甲斐があるが、麦は手応えが違う。,,
a0601,17,105,CHR_THIS,"A golden wheat field, glistening all over... It's so exciting to think that something so dynamic will one day be made into bread.","A golden wheat field, glistening all over... It's so<br/>exciting to think that something so dynamic will one<br/>day be made into bread.",CHR_THIS,一面に輝く金色の麦畑……あのダイナミックな 代物がパンになると思うと胸が躍るね。,一面に輝く金色の麦畑……あのダイナミックな<br/>代物がパンになると思うと胸が躍るね。,,
a0601,17,106,CHR_THIS,Besides... You can’t make a beer without the right grains!,Besides... You can’t make a beer without the<br/>right grains!,CHR_THIS,それに……麦が無きゃビールも飲めんしな！,それに……麦が無きゃビールも飲めんしな！,,
a0601,18,107,CHR_THIS,"Mister, you were talking about taking jobs from the people of the village. Are you a bracer?","Mister, you were talking about taking jobs from the<br/>people of the village. Are you a bracer?",CHR_THIS,あんちゃん、村の皆が依頼をどうとか 言ってたけど、遊撃士なのか？,あんちゃん、村の皆が依頼をどうとか<br/>言ってたけど、遊撃士なのか？,,
a0601,18,108,CHR_THIS,"Actually, I wanna be a bracer, too...","Actually, I wanna be a bracer, too...",CHR_THIS,実はオレも遊撃士になりたいと思ってて……,実はオレも遊撃士になりたいと思ってて……,,
a0601,18,109,Van,"Sorry to disappoint, but I’m no bracer.","Sorry to disappoint, but I’m no bracer.",ヴァン,いや、悪いが遊撃士じゃないな。,いや、悪いが遊撃士じゃないな。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
a0601,18,110,Van,"And I'm not the kind of guy you'd want as a role model, either.","And I'm not the kind of guy you'd want as a role<br/>model, either.",ヴァン,お前の憧れるようなものでもねぇよ。,お前の憧れるようなものでもねぇよ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
a0601,18,111,CHR_THIS,"Really? Well, now that you mention it, you don't give off that vibe.","Really? Well, now that you mention it, you don't give<br/>off that vibe.",CHR_THIS,そうなのか？　まあ、言われてみれば、 確かに雰囲気とかそれっぽくないもんな。,そうなのか？　まあ、言われてみれば、<br/>確かに雰囲気とかそれっぽくないもんな。,,
a0601,18,112,CHR_THIS,"Hmm, guess I jumped to conclusions.","Hmm, guess I jumped to conclusions.",CHR_THIS,うーん、ちょとばかり早とちりしたな。,うーん、ちょとばかり早とちりしたな。,,
a0601,18,113,CHR_THIS,Man though... Annie’s such a grownup.,Man though... Annie’s such a grownup.,CHR_THIS,それにしても、アニーは立派だよなぁ。,それにしても、アニーは立派だよなぁ。,,
a0601,18,114,CHR_THIS,"The way she’s always watching out for that little brat of a brother she’s got, you know?","The way she’s always watching out for that little brat<br/>of a brother she’s got, you know?",CHR_THIS,あのやんちゃな弟もちゃんと面倒見ていて……,あのやんちゃな弟もちゃんと面倒見ていて……,,
a0601,18,115,CHR_THIS,"Folks say she seems kinda weak-willed, but I don’t think she could take such good care of him if she wasn’t strong where it counts.","Folks say she seems kinda weak-willed, but I don’t<br/>think she could take such good care of him if she<br/>wasn’t strong where it counts.",CHR_THIS,気弱そうとか言われる事もあるけど、 芯が強くなきゃ務まらないよ。,気弱そうとか言われる事もあるけど、<br/>芯が強くなきゃ務まらないよ。,,
a0601,18,116,CHR_THIS,"...I’ve gotta get stronger, too.","...I’ve gotta get stronger, too.",CHR_THIS,……オレもオレなりに強くならねぇと。,……オレもオレなりに強くならねぇと。,,
a0601,19,117,CHR_THIS,Welcome. Are you looking to buy something?,Welcome. Are you looking to buy something?,CHR_THIS,いらっしゃい、お買い物かしら。,いらっしゃい、お買い物かしら。,,
a0601,19,118,CHR_THIS,"People love our vegetables even in the city, but I assure you, the veggies you’ll get here, freshly harvested with the scent of earth still on them, are the best.","People love our vegetables even in the city, but I<br/>assure you, the veggies you’ll get here, freshly<br/>harvested with the scent of earth still on them, are<br/>the best.",CHR_THIS,この村の野菜は街でも評判だけど、やっぱり 土の匂いがするくらいの採れたてが一番よ。,この村の野菜は街でも評判だけど、やっぱり<br/>土の匂いがするくらいの採れたてが一番よ。,,
a0601,19,119,CHR_THIS,"I sell our produce direct from the farmers here, so your business would be welcome.","I sell our produce direct from the farmers here, so<br/>your business would be welcome.",CHR_THIS,ここで直売をしているから、良かったら 買って行ってもらえると嬉しいわ。,ここで直売をしているから、良かったら<br/>買って行ってもらえると嬉しいわ。,,
a0601,19,120,CHR_THIS,"By the way, vegetables aren't all I stock. I have a few little trinkets on sale, too.","By the way, vegetables aren't all I stock. I have a few<br/>little trinkets on sale, too.",CHR_THIS,ちなみに、野菜以外にも いくらか小物を売っているわ。,ちなみに、野菜以外にも<br/>いくらか小物を売っているわ。,,
a0601,19,121,CHR_THIS,"I do handicrafts in my spare time, you see. These accessories were all made by yours truly.","I do handicrafts in my spare time, you see.<br/>These accessories were all made by yours truly.",CHR_THIS,ふふ、どれも私が趣味の手芸で 作ったアクセサリーなの。,ふふ、どれも私が趣味の手芸で<br/>作ったアクセサリーなの。,,
a0601,20,122,CHR_THIS,Hmm... I wasn’t expecting to get to the point where I can’t read my own ledger.,Hmm... I wasn’t expecting to get to the point where I<br/>can’t read my own ledger.,CHR_THIS,うーむ……よもやいつの間にか、帳簿すら 読めなくなっておるとは……,うーむ……よもやいつの間にか、帳簿すら<br/>読めなくなっておるとは……,,
a0601,20,123,CHR_THIS,I’ve grown old. Sad as it is to say.,I’ve grown old. Sad as it is to say.,CHR_THIS,ワシも老いたもんじゃ、哀しいのう。,ワシも老いたもんじゃ、哀しいのう。,,
a0601,20,124,CHR_THIS,I’m simply glad I have such a capable grandson...,I’m simply glad I have such a capable grandson...,CHR_THIS,そして持つべきは出来た孫じゃな……,そして持つべきは出来た孫じゃな……,,
a0601,21,125,CHR_THIS,"Come to think of it, haven't we met somewhere before?","Come to think of it, haven't we met<br/>somewhere before?",CHR_THIS,そういえばお客さん、 以前にどこかでお会いしましたか？,そういえばお客さん、<br/>以前にどこかでお会いしましたか？,,
a0601,21,126,CHR_THIS,"You haven't visited my shop before, by any chance, have you?","You haven't visited my shop before, by any chance,<br/>have you?",CHR_THIS,もしかしてお店にいらした事が ありましたか？,もしかしてお店にいらした事が<br/>ありましたか？,,
a0601,21,127,Van,"Sorry, but this is actually my first visit.","Sorry, but this is actually my first visit.",ヴァン,いや、今回が初めてになるな。,いや、今回が初めてになるな。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
a0601,21,128,CHR_THIS,"Hmm, it does feel like we’ve met before, though...","Hmm, it does feel like we’ve met before, though...",CHR_THIS,うーん、多分お会いしたと思うのですが……,うーん、多分お会いしたと思うのですが……,,
a0601,21,129,CHR_THIS,It takes him such a long time to remember his customers nowadays. All I can do is apologize...,It takes him such a long time to remember his<br/>customers nowadays. All I can do is apologize...,CHR_THIS,お客さんの事を思い出すのに手間取るとは、 申し訳ない限りですね……,お客さんの事を思い出すのに手間取るとは、<br/>申し訳ない限りですね……,,
a0601,21,130,CHR_THIS,Sorry you had to see that.,Sorry you had to see that.,CHR_THIS,さっきは見苦しい所を見せて申し訳ない。,さっきは見苦しい所を見せて申し訳ない。,,
a0601,21,131,CHR_THIS,My granddad’s been getting a lot worse since my parents died in a traffic accident.,My granddad’s been getting a lot worse since my<br/>parents died in a traffic accident.,CHR_THIS,祖父は僕の両親が交通事故で他界してから、 ボケと老眼が進行してしまっていて……,祖父は僕の両親が交通事故で他界してから、<br/>ボケと老眼が進行してしまっていて……,,
a0601,21,132,CHR_THIS,"I wish I could keep a closer eye on him, but the deliveries are my responsibility now my parents aren't around...","I wish I could keep a closer eye on him, but the<br/>deliveries are my responsibility now my parents<br/>aren't around...",CHR_THIS,本当は近くで常にフォローしたいですが、 両親に代わり運送なども僕がやってるからどうしても……,本当は近くで常にフォローしたいですが、<br/>両親に代わり運送なども僕がやってるからどうしても……,,
a0601,22,133,CHR_THIS,Thanks for your business. Did you like the galettes?,Thanks for your business. Did you like the galettes?,CHR_THIS,まいどあり、ガレットは美味かったか？,まいどあり、ガレットは美味かったか？,,
a0601,22,134,CHR_THIS,"We serve different food in the evenings, but I assure you it's just as good. If you're staying the night, you should join us for dinner as well!","We serve different food in the evenings, but I assure<br/>you it's just as good. If you're staying the night, you<br/>should join us for dinner as well!",CHR_THIS,夜もまた違った絶品料理を出してるから、 泊まるんなら晩もうちで食うと良いぜ。,夜もまた違った絶品料理を出してるから、<br/>泊まるんなら晩もうちで食うと良いぜ。,,
a0601,22,135,CHR_THIS,"I know there was some kind of accident, but there's no need to be overly nervous.","I know there was some kind of accident, but there's<br/>no need to be overly nervous.",CHR_THIS,事故もあったようだが、 あんたらは変に気を遣う事はねぇ。,事故もあったようだが、<br/>あんたらは変に気を遣う事はねぇ。,,
a0601,22,136,CHR_THIS,My hospitality's going to make everyone glad they got held up!,My hospitality's going to make everyone glad they got<br/>held up!,CHR_THIS,足止めされた人らの事も、 俺がきっちりもてなしておくからよ。,足止めされた人らの事も、<br/>俺がきっちりもてなしておくからよ。,,
a0601,22,137,CHR_THIS,"Come to think of it, my daughter’s been baking our famous galettes almost more than I have lately.","Come to think of it, my daughter’s been baking our<br/>famous galettes almost more than I have lately.",CHR_THIS,そういや、うちの名物のガレットだが、 最近は娘も焼く事が増えてきてな。,そういや、うちの名物のガレットだが、<br/>最近は娘も焼く事が増えてきてな。,,
a0601,22,138,CHR_THIS,"She’s probably gonna be a better cook than I am, soon. I’m excited to see just how good she’ll get.","She’s probably gonna be a better cook than I<br/>am, soon. I’m excited to see just how good she’ll get.",CHR_THIS,早くも俺より上手くなりそうな気配だ、 後々が楽しみだな。,早くも俺より上手くなりそうな気配だ、<br/>後々が楽しみだな。,,
a0601,23,139,CHR_THIS,Those sorts of people actually stop by our village pretty often. Even I've got used to them by now.,Those sorts of people actually stop by our village<br/>pretty often. Even I've got used to them by now.,CHR_THIS,実はあの手の人たちが村に寄る事はちょくちょく あって、あたし達も慣れてるんだよね。,実はあの手の人たちが村に寄る事はちょくちょく<br/>あって、あたし達も慣れてるんだよね。,,
a0601,23,140,CHR_THIS,"In fact, I got along well with that leader lady who was with those folks from the other day.","In fact, I got along well with that leader lady who was<br/>with those folks from the other day.",CHR_THIS,この前の人たちも隊長のお姉さんとは 仲良くなれたしね。,この前の人たちも隊長のお姉さんとは<br/>仲良くなれたしね。,,
a0601,23,141,CHR_THIS,"On that note, do you need any orbments modifying? We might be out in the sticks here, but we do have a proper workshop.","On that note, do you need any orbments modifying?<br/>We might be out in the sticks here, but we do have a<br/>proper workshop.",CHR_THIS,そういえばオーブメントの調整とかで困ってない？ 田舎だけど、ちゃんとした工房はあるよ。,そういえばオーブメントの調整とかで困ってない？<br/>田舎だけど、ちゃんとした工房はあるよ。,,
a0601,23,142,CHR_THIS,"My boss is repairing the bus right now, but I can vouch for my friend who's tending the store. You'll be in safe hands.","My boss is repairing the bus right now, but I can<br/>vouch for my friend who's tending the store. You'll be<br/>in safe hands.",CHR_THIS,親方はバス修理をしてるけど、店番をしている あたしの友達の腕前も保証できるから安心してね。,親方はバス修理をしてるけど、店番をしている<br/>あたしの友達の腕前も保証できるから安心してね。,,
a0601,24,143,CHR_THIS,I’ve got some business regarding health suppliments over in Remiferia.,I’ve got some business regarding health suppliments<br/>over in Remiferia.,CHR_THIS,自分はレミフェリアの方で、 栄養サプリ関連の商談を控えていてね……,自分はレミフェリアの方で、<br/>栄養サプリ関連の商談を控えていてね……,,
a0601,24,144,CHR_THIS,"I was worried the delay might be a problem, but I was able to contact the people I had an appointment with via the inn’s phone, and they were very understanding.","I was worried the delay might be a problem, but I was<br/>able to contact the people I had an appointment with<br/>via the inn’s phone, and they were<br/>very understanding.",CHR_THIS,この遅延に最初は焦ったが宿で通信機を借りて、 先方に何とか納得してもらえたよ。,この遅延に最初は焦ったが宿で通信機を借りて、<br/>先方に何とか納得してもらえたよ。,,
a0601,24,145,CHR_THIS,Now I'm under even more pressure to clinch the deal.,Now I'm under even more pressure to clinch the deal.,CHR_THIS,その分、しっかり商談をまとめてこないとな。,その分、しっかり商談をまとめてこないとな。,,
a0601,24,146,CHR_THIS,"I get the impression that lots of the older villagers are involved in manual labor, since this is a farming village...","I get the impression that lots of the older villagers are<br/>involved in manual labor, since this is a<br/>farming village...",CHR_THIS,そういえば、この村も農村だけあって 肉体労働をする中高年が多そうだな……,そういえば、この村も農村だけあって<br/>肉体労働をする中高年が多そうだな……,,
a0601,24,147,CHR_THIS,"Hmm, that supplement market could be promising. I should take a little look around so my time here doesn't go to waste.","Hmm, that supplement market could be promising.<br/>I should take a little look around so my time here<br/>doesn't go to waste.",CHR_THIS,ふむ、サプリの市場としては有望かもしれない。 時間を有効に使うためにも少し見て回るか。,ふむ、サプリの市場としては有望かもしれない。<br/>時間を有効に使うためにも少し見て回るか。,,
a0601,25,148,Van,I take it you're the trainee blacksmith. Lemme see what you've got on sale.,I take it you're the trainee blacksmith. Lemme see<br/>what you've got on sale.,ヴァン,東方鍛冶の修行してるってのはアンタだな。 商品を見せてもらう事はできるか？,東方鍛冶の修行してるってのはアンタだな。<br/>商品を見せてもらう事はできるか？,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
a0601,25,149,CHR_THIS,"Ooh, someone's been doing their research.","Ooh, someone's been doing their research.",CHR_THIS,へぇ、お兄さんよく知ってるね。,へぇ、お兄さんよく知ってるね。,,
a0601,25,150,CHR_THIS,"You say ＂trainee,＂ but I'm actually self-taught. If you're okay with the stuff I've made to practice, you can take them off my hands for free...","You say ＂trainee,＂ but I'm actually self-taught.<br/>If you're okay with the stuff I've made to practice, you<br/>can take them off my hands for free...",CHR_THIS,う～ん、と言っても独学だからなぁ。 習作で良ければ譲れるけど……,う～ん、と言っても独学だからなぁ。<br/>習作で良ければ譲れるけど……,,
a0601,25,151,Van,"Bah, that doesn't bother me. I'm happy to pay a proper price.","Bah, that doesn't bother me. I'm happy to pay a<br/>proper price.",ヴァン,ああ、それで構わない。 きちんと対価は支払うぜ。,ああ、それで構わない。<br/>きちんと対価は支払うぜ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
a0601,25,152,,Items have been added to Goddard Workshop!,Items have been added to Goddard Workshop!,,《ゴダード工房》に商品が追加された！,<C1>《ゴダード工房》に商品が追加された！,,
a0601,25,153,CHR_THIS,"I was planning on fixing the bus myself, but I had to let my boss take care of it.","I was planning on fixing the bus myself, but I had to<br/>let my boss take care of it.",CHR_THIS,最初は、あたしがバスの修理をやろうと 思ったんだけど、親方に任せてもらえなくてさ。,最初は、あたしがバスの修理をやろうと<br/>思ったんだけど、親方に任せてもらえなくてさ。,,
a0601,25,154,CHR_THIS,Hmph. I guess they're still treating me like an amateur.,Hmph. I guess they're still treating me like<br/>an amateur.,CHR_THIS,うーん、これはまだ半人前扱いって事なのか……,うーん、これはまだ半人前扱いって事なのか……,,
a0601,25,155,CHR_THIS,I've already mastered modifications. Isn't it about time I moved onto the next stage?,I've already mastered modifications. Isn't it about<br/>time I moved onto the next stage?,CHR_THIS,調整もマスターしたし、 そろそろ次の段階に進みたいんだけどな。,調整もマスターしたし、<br/>そろそろ次の段階に進みたいんだけどな。,,
a0601,26,156,CHR_THIS,"Oh, a customer? If there's anything you need, I'll gladly be of service.","Oh, a customer? If there's anything you need, I'll<br/>gladly be of service.",CHR_THIS,おや、客人ですか？ 何かございましたら、私が伺いますよ。,おや、客人ですか？<br/>何かございましたら、私が伺いますよ。,,
a0601,26,157,CHR_THIS,"There’s been more travelers from the city lately, so I’ve been spending more time helping them lately.","There’s been more travelers from the city lately, so<br/>I’ve been spending more time helping them lately.",CHR_THIS,最近では街の人もたくさん来ますしね、 私が応対する機会も増えましたよ。,最近では街の人もたくさん来ますしね、<br/>私が応対する機会も増えましたよ。,,
a0601,26,158,CHR_THIS,"We might be an old-fashioned rural village, but we've started distributing more and more of our vegetables and grains to urban areas.","We might be an old-fashioned rural village, but we've<br/>started distributing more and more of our vegetables<br/>and grains to urban areas.",CHR_THIS,見ての通り昔ながらの農村ですが、 都市部に野菜や穀類を卸す事も増えましてね。,見ての通り昔ながらの農村ですが、<br/>都市部に野菜や穀類を卸す事も増えましてね。,,
a0601,26,159,CHR_THIS,"Well, this village is full of good people, so feel free to take your time.","Well, this village is full of good people, so feel free to<br/>take your time.",CHR_THIS,まあ、村の皆も気の良い者ばかりですし、 遠慮せずゆっくりして下さい。,まあ、村の皆も気の良い者ばかりですし、<br/>遠慮せずゆっくりして下さい。,,
a0601,26,160,CHR_THIS,I've heard about the bus accident.,I've heard about the bus accident.,CHR_THIS,バスの事故については聞いています。,バスの事故については聞いています。,,
a0601,26,161,CHR_THIS,"The city's becoming an indispensable market for us, but even so...","The city's becoming an indispensable market for us,<br/>but even so...",CHR_THIS,昨今では都市部へ販路も欠かせないものと なりつつありますが……,昨今では都市部へ販路も欠かせないものと<br/>なりつつありますが……,,
a0601,26,162,CHR_THIS,"This incident makes me worry about the people in our village who work in transport. I'd better have a chat with them, just to be on the safe side.","This incident makes me worry about the people in<br/>our village who work in transport. I'd better have a<br/>chat with them, just to be on the safe side.",CHR_THIS,このような事故があったとなれば、輸送に当たる 村人も心配です、念のために話しておきましょう。,このような事故があったとなれば、輸送に当たる<br/>村人も心配です、念のために話しておきましょう。,,
a0601,27,163,CHR_THIS,"Welcome. Are you guys from the capital, too?","Welcome. Are you guys from the capital, too?",CHR_THIS,いらっしゃい、あなた達も首都から 来たのかしら？,いらっしゃい、あなた達も首都から<br/>来たのかしら？,,
a0601,27,164,CHR_THIS,"As I'm sure you've noticed, this is a humble little village, but more people have been making the effort to visit us for sightseeing.","As I'm sure you've noticed, this is a humble little<br/>village, but more people have been making the effort<br/>to visit us for sightseeing.",CHR_THIS,この通り慎ましやかな村だけど、 最近だと、わざわざ観光に来る人も増えてねぇ。,この通り慎ましやかな村だけど、<br/>最近だと、わざわざ観光に来る人も増えてねぇ。,,
a0601,27,165,CHR_THIS,"Since we've started exporting more of our crops to the city, word's gotten around about how lovely our village is.","Since we've started exporting more of our crops to the<br/>city, word's gotten around about how lovely our<br/>village is.",CHR_THIS,作物の出荷で往来が増えたからか、村の魅力が 都会の方でも広まってるらしいじゃないの。,作物の出荷で往来が増えたからか、村の魅力が<br/>都会の方でも広まってるらしいじゃないの。,,
a0601,27,166,CHR_THIS,"My husband's been expanding our crop market to include urban areas, but..","My husband's been expanding our crop market to<br/>include urban areas, but..",CHR_THIS,夫は、都市部への作物の販路を拡大したり してきたけれど……,夫は、都市部への作物の販路を拡大したり<br/>してきたけれど……,,
a0601,27,167,CHR_THIS,He's not once neglected our traditions or the thoughts of our people.,He's not once neglected our traditions or the<br/>thoughts of our people.,CHR_THIS,でも、伝統や皆の思い入れを ないがしろにした事は一度も無くてね。,でも、伝統や皆の思い入れを<br/>ないがしろにした事は一度も無くてね。,,
a0601,27,168,CHR_THIS,That balanced mentality must have been why he was put forward to become mayor.,That balanced mentality must have been why he was<br/>put forward to become mayor.,CHR_THIS,こういうバランス感覚も、夫が村長に推薦された 理由なんでしょうねぇ。,こういうバランス感覚も、夫が村長に推薦された<br/>理由なんでしょうねぇ。,,
a0601,28,169,CHR_THIS,"Well now, you’re an unfamiliar face. Are you a traveler? Welcome to our church.","Well now, you’re an unfamiliar face. Are you<br/>a traveler? Welcome to our church.",CHR_THIS,おや、見ない顔ですがご旅行の方ですか？ よくぞ教会にいらっしゃいましたな。,おや、見ない顔ですがご旅行の方ですか？<br/>よくぞ教会にいらっしゃいましたな。,,
a0601,28,170,CHR_THIS,"As I’m sure you’ve noticed, it’s a peaceful spot. It’s had its fare share of visitors as of late.","As I’m sure you’ve noticed, it’s a peaceful spot.<br/>It’s had its fare share of visitors as of late.",CHR_THIS,見ての通りここは穏やかな所ですからね、 昨今では観光の方も珍しくありません。,見ての通りここは穏やかな所ですからね、<br/>昨今では観光の方も珍しくありません。,,
a0601,28,171,CHR_THIS,"Not many people know this, but there are actually some ancient ruins nearby.","Not many people know this, but there are actually<br/>some ancient ruins nearby.",CHR_THIS,ちなみに、あまり知られていませんが 近隣には古代の遺構もありましてね。,ちなみに、あまり知られていませんが<br/>近隣には古代の遺構もありましてね。,,
a0601,28,172,CHR_THIS,"It's a relic from some animistic faith. I suppose the people around here have always had a deep appreciation for nature, even in ancient times.","It's a relic from some animistic faith. I suppose the<br/>people around here have always had a deep<br/>appreciation for nature, even in ancient times.",CHR_THIS,精霊信仰の名残りらしく、この辺りの人々は 大昔から自然を大切にしていたのでしょうな。,精霊信仰の名残りらしく、この辺りの人々は<br/>大昔から自然を大切にしていたのでしょうな。,,
a0601,28,173,CHR_THIS,"Actually, some time ago, they even dug up a big stone statue from the remains.","Actually, some time ago, they even dug up a big stone<br/>statue from the remains.",CHR_THIS,実は過去に、大きな石像が遺構から 出土した事もありましてね。,実は過去に、大きな石像が遺構から<br/>出土した事もありましてね。,,
a0601,28,174,CHR_THIS,"I was there when it was recovered, and I must say, it was a truly magnificent thing.","I was there when it was recovered, and I must say, it<br/>was a truly magnificent thing.",CHR_THIS,回収される際には私も立ち合いましたが、 いやはや、実に立派な代物でした。,回収される際には私も立ち合いましたが、<br/>いやはや、実に立派な代物でした。,,
