gameId,fname,scene,row,engChrName,engSearchText,engHtmlText,jpnChrName,jpnSearchText,jpnHtmlText,opName,pcIconHtml,evoIconHtml
m7100,1,1,CHR_THIS,"Temporary placement to check event progression. Once night activities and quests have been officially added, please delete.","Temporary placement to check event progression.<br/>Once night activities and quests have been officially<br/>added, please delete.",CHR_THIS,イベント進行確認用に仮配置しています。 ※夜行動やクエストが正式入力しましたら削除をお願いいたします。,イベント進行確認用に仮配置しています。<br/>※夜行動やクエストが正式入力しましたら削除をお願いいたします。,,
m7100,4,108,Van,Hah. I call bullshit—you ain't the sentimental type.,Hah. I call bullshit—you ain't the sentimental type.,ヴァン,ハッ、抜かしやがれ。 てめえがそんな殊勝なタマかよ。,ハッ、抜かしやがれ。<br/>てめえがそんな殊勝なタマかよ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,4,109,Van,"Still, she's gonna be back in town tomorrow.","Still, she's gonna be back in town tomorrow.",ヴァン,だが──明日には あいつも戻ってくるらしいからな。,だが──明日には<br/>あいつも戻ってくるらしいからな。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,4,110,Van,"And I know she'd give me an earful if I left any problems unsolved, so I guess I can help you just this once.","And I know she'd give me an earful if I left any<br/>problems unsolved, so I guess I can help you just<br/>this once.",ヴァン,残してたら嫌味を言われそうだし、 仕方ねえから付き合ってやるぜ。,残してたら嫌味を言われそうだし、<br/>仕方ねえから付き合ってやるぜ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,4,111,Kincaid,Heh.,Heh.,キンケイド,フッ……,"<audio id=""v10_60004""><source src=""talk/11/v10_60004.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v10_60004').play()"">フッ……</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,4,112,Ferry,Umm...,Umm...,フェリ,えと……,えと……,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,4,113,Quatre,I-It's like I'm seeing two of the same person.,I-It's like I'm seeing two of the same person.,カトル,い、息ピッタリだなぁ。,い、息ピッタリだなぁ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7100,4,114,Judith,You can really tell they go way back.,You can really tell they go way back.,ジュディス,やれやれ。 腐れ縁ならではって感じね。,やれやれ。<br/>腐れ縁ならではって感じね。,,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m7100,4,115,Aaron,"Ugh. Get a damn room, you wrinkly old farts.","Ugh. Get a damn room, you wrinkly old farts.",アーロン,ケッ…… オヤジ共がさみーんだよ。,ケッ……<br/>オヤジ共がさみーんだよ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7100,4,116,Agnes,"Ahaha... We'll help, too, of course!","Ahaha... We'll help, too, of course!",アニエス,あはは……でも、 私たちも当然手伝います！,あはは……でも、<br/>私たちも当然手伝います！,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,4,117,Bellegarde,Hmm... How many more of these troublemakers can we expect in here?,Hmm... How many more of these troublemakers can<br/>we expect in here?,ベルガルド,ふむ、こちらに入った者どもは あとどのくらいいる？,ふむ、こちらに入った者どもは<br/>あとどのくらいいる？,,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7100,4,118,Kincaid,We believe there to be roughly thirty. Twenty thugs and ten former Almata members.,We believe there to be roughly thirty. Twenty thugs<br/>and ten former Almata members.,キンケイド,およそ３０名ほどでしょう。 半グレ２０、構成員１０くらいです。,およそ３０名ほどでしょう。<br/>半グレ２０、構成員１０くらいです。,,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,4,119,Agnes,Do you have any idea how many more of them we can expect in here?,Do you have any idea how many more of them we<br/>can expect in here?,アニエス,こちらへ入った人たちは 他にどのくらいいるんですか？,こちらへ入った人たちは<br/>他にどのくらいいるんですか？,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,4,120,Kincaid,We believe there to be roughly thirty. Twenty thugs and ten former Almata members.,We believe there to be roughly thirty. Twenty thugs<br/>and ten former Almata members.,キンケイド,およそ３０名ほどだろう。 半グレ２０、構成員１０くらいだ。,およそ３０名ほどだろう。<br/>半グレ２０、構成員１０くらいだ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,4,121,Van,"Damn—even got a breakdown. Sure are a lot of 'em though, huh?","Damn—even got a breakdown. Sure are a lot of 'em<br/>though, huh?",ヴァン,そこまで掴んでんのかよ…… しかし何気に多いな。,そこまで掴んでんのかよ……<br/>しかし何気に多いな。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,4,122,Lisette,We should contact the others at the office and have them come along to assist us.,We should contact the others at the office and have<br/>them come along to assist us.,リゼット,改めて事務所に連絡して 応援に来て頂きましょうか。,改めて事務所に連絡して<br/>応援に来て頂きましょうか。,,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7100,4,123,Van,"Either way, guess we should give the others a call and get 'em to come on down here.","Either way, guess we should give the others a call and<br/>get 'em to come on down here.",ヴァン,まあいい、改めて 事務所から応援を呼ぶか。,まあいい、改めて<br/>事務所から応援を呼ぶか。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,5,124,　,The two reserve members hurried from the Arkride Solutions office.,The two reserve members hurried from the Arkride<br/>Solutions office.,　,その後、アークライド事務所から 待機していた２名も駆け付け……,<C1>その後、アークライド事務所から<br/>待機していた２名も駆け付け……,,
m7100,5,125,　,"As the road ahead forked, they decided to split their group into two, with Van and Kincaid each leading the charge.","As the road ahead forked, they decided to split their<br/>group into two, with Van and Kincaid each leading<br/>the charge.",　,上水道が２手に分かれている事もあり、 ヴァンとキンケイドは相談した結果、 メンバーを２手に分けることにした。,<C1>上水道が２手に分かれている事もあり、<br/>ヴァンとキンケイドは相談した結果、<br/>メンバーを２手に分けることにした。,,
m7100,5,126,Van,These two teams should work.,These two teams should work.,ヴァン,──ま、こんなモンか。,──ま、こんなモンか。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,5,127,Ferry,"We're with Mr. Kincaid, huh...?","We're with Mr. Kincaid, huh...?",フェリ,わ、わたしたちが キンケイドさんとですか……,わ、わたしたちが<br/>キンケイドさんとですか……,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,5,128,Aaron,"Heh. Judging by his aim earlier, he won't drag us down in battle, at least.","Heh. Judging by his aim earlier, he won't drag us<br/>down in battle, at least.",アーロン,ハン、さっきの射撃を見る限り 腕前はアテにはなりそうだが……,ハン、さっきの射撃を見る限り<br/>腕前はアテにはなりそうだが……,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7100,5,129,Agnes,...,...,アニエス,……………………………,……………………………,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,5,130,Kincaid,"Oh, I assure you that these teams were decided purely on combat balance.","Oh, I assure you that these teams were decided purely<br/>on combat balance.",キンケイド,フフ、バランス面も考慮した 戦力分担だと思ってもらいたい。,フフ、バランス面も考慮した<br/>戦力分担だと思ってもらいたい。,,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,5,131,Kincaid,You can count on me to support you in battle—and I'll even throw in some old stories about Van as a bonus.,You can count on me to support you in battle—and<br/>I'll even throw in some old stories about Van as<br/>a bonus.,キンケイド,君たちのサポートは任せてもらおう。 ヴァンの昔話などもサービスするぞ？,君たちのサポートは任せてもらおう。<br/>ヴァンの昔話などもサービスするぞ？,,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,5,132,Agnes,...What?,...What?,アニエス,え。,え。,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,5,133,Ferry,R-Really?!,R-Really?!,フェリ,ホ、ホントですかっ？,ホ、ホントですかっ？,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,5,134,Aaron,Heh. NOW I'm in.,Heh. NOW I'm in.,アーロン,クク、そりゃオイシイな。,クク、そりゃオイシイな。,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7100,5,135,Van,HEY!,HEY!,ヴァン,ってオイ！？,ってオイ！？,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,5,136,Quatre,Maybe being in the other group wouldn't be so bad after all.,Maybe being in the other group wouldn't be so bad<br/>after all.,カトル,うーん、それを聞くと そっちも悪くなさそうだね。,うーん、それを聞くと<br/>そっちも悪くなさそうだね。,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7100,5,137,Judith,"I wanna know his weaknesses, too. You'll have to spill later!","I wanna know his weaknesses, too. You'll have to<br/>spill later!",ジュディス,この男の弱みかぁ…… ねえねえ、後で教えてよね？,この男の弱みかぁ……<br/>ねえねえ、後で教えてよね？,,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m7100,5,138,Ferry,Can do!,Can do!,フェリ,はいっ。,はいっ。,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,5,139,Van,Can DON'T!,Can DON'T!,ヴァン,はいじゃねえよ！,はいじゃねえよ！,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,5,140,Agnes,"Ahaha... I won't ask for anything that might count as a weakness, don't worry.","Ahaha... I won't ask for anything that might count as<br/>a weakness, don't worry.",アニエス,あはは……弱みになりそうな お話だったら伺いませんので。,あはは……弱みになりそうな<br/>お話だったら伺いませんので。,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,5,141,Van,But you're still up for anything that doesn't?!,But you're still up for anything that doesn't?!,ヴァン,そうじゃなかったら 聞くつもり満々なのかよ！？,そうじゃなかったら<br/>聞くつもり満々なのかよ！？,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,5,142,Lisette,We should get moving. We're short on time.,We should get moving. We're short on time.,リゼット,時間がありません。 そろそろ出発しましょう。,時間がありません。<br/>そろそろ出発しましょう。,,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7100,5,143,Bellegarde,"As we agreed, XEROS and I will remain here.","As we agreed, XEROS and I will remain here.",ベルガルド,──申し合わせ通り、 私とＸＥＲＯＳはここで待機する。,──申し合わせ通り、<br/>私とＸＥＲＯＳはここで待機する。,,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7100,5,144,Bellegarde,Contact me when you apprehend any of our suspects. I will see that they get to the CID.,Contact me when you apprehend any of our suspects.<br/>I will see that they get to the CID.,ベルガルド,連中を確保したら連絡するがいい。 適宜、ＣＩＤの後詰めに引き渡そう。,連中を確保したら連絡するがいい。<br/>適宜、ＣＩＤの後詰めに引き渡そう。,,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7100,5,145,Van,Thanks. I know we can always count on you.,Thanks. I know we can always count on you.,ヴァン,師父（せんせい）なら安心だ。 バックアップは任せましたよ。,師父（せんせい）なら安心だ。<br/>バックアップは任せましたよ。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,5,146,Kincaid,"I appreciate your assistance, Mr. Zeman.","I appreciate your assistance, Mr. Zeman.",キンケイド,宜しくお願いする、ゼーマンさん。,宜しくお願いする、ゼーマンさん。,,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,5,147,Ferry,"We'll need your help, too, XEROS!","We'll need your help, too, XEROS!",フェリ,ＸＥＲＯＳもよろしくね！,ＸＥＲＯＳもよろしくね！,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,5,148,XEROS,RUFF!,RUFF!,ＸＥＲＯＳ,ＢＯＷ！,"<audio id=""se_k10511""><source src=""talk/11/se_k10511.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('se_k10511').play()"">ＢＯＷ！</a>",,
m7100,5,149,Van,Then let's get this thing started.,Then let's get this thing started.,ヴァン,そんじゃあ始めるとするか──,そんじゃあ始めるとするか──,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,5,150,Van,"We gotta make for the other side where the two routes meet, and take in everyone we find along the way!","We gotta make for the other side where the two<br/>routes meet, and take in everyone we find along<br/>the way!",ヴァン,Ａチーム、マフィアの残党を確保しつつ 最奥の再合流地点を目指すぞ！,Ａチーム、マフィアの残党を確保しつつ<br/>最奥の再合流地点を目指すぞ！,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,5,151,Quatre,Right!,Right!,カトル,了解！,了解！,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7100,5,152,Lisette,Understood.,Understood.,リゼット,承知しました。,承知しました。,,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7100,5,153,Judith,We've got this!,We've got this!,ジュディス,任せなさい！,任せなさい！,,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m7100,5,154,Kincaid,Heh. This is the perfect chance to show off all you've learned under Van.,Heh. This is the perfect chance to show off all you've<br/>learned under Van.,キンケイド,フフ、解決事務所での成果、 見せつけるチャンスでもあるだろう。,フフ、解決事務所での成果、<br/>見せつけるチャンスでもあるだろう。,,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,5,155,Kincaid,"Let's get to work, Team B! Prove you're better at this than he is!","Let's get to work, Team B! Prove you're better at this<br/>than he is!",キンケイド,Ｂチーム状況開始── 見事ヴァンを出し抜いてみせろ！,Ｂチーム状況開始──<br/>見事ヴァンを出し抜いてみせろ！,,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,5,156,Ferry,Got it!,Got it!,フェリ,！　了解（ウーラ）っ！,！　了解（ウーラ）っ！,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,5,157,Aaron,"Damn right, I am.","Damn right, I am.",アーロン,クク、それなら任せろや！,クク、それなら任せろや！,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7100,5,158,Van,This isn't a competition!,This isn't a competition!,ヴァン,って乗ってんじゃねーよ！,って乗ってんじゃねーよ！,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,5,159,Agnes,"W-Well, take care, everyone!","W-Well, take care, everyone!",アニエス,そ、それじゃあ、 そちらも気をつけて下さい！,そ、それじゃあ、<br/>そちらも気をつけて下さい！,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,5,160,Quatre,"The same to you, Agnès!","The same to you, Agnès!",カトル,うん、アニエスさんたちも！,うん、アニエスさんたちも！,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7100,5,161,Bellegarde,"As long as they have that much spirit, they should have no trouble dealing with this.","As long as they have that much spirit, they<br/>should have no trouble dealing with this.",ベルガルド,フフ、あの調子ならば 問題なく片付くであろうな。,"<audio id=""v07_60022""><source src=""talk/11/v07_60022.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v07_60022').play()"">フフ、あの調子ならば<br/>問題なく片付くであろうな。</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7100,5,162,Bellegarde,Still...,Still...,ベルガルド,だが──……,"<audio id=""v07_60023""><source src=""talk/11/v07_60023.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v07_60023').play()"">だが──……</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7100,5,163,Bellegarde,(I faintly sense a presence that is not of this world here.),(I faintly sense a presence that is not of this<br/>world here.),ベルガルド,（……微かに漂う“幽世（かくりよ）”の気配。）,"<audio id=""v07_60024""><source src=""talk/11/v07_60024.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v07_60024').play()"">（……微かに漂う“幽世（かくりよ）”の気配。）</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7100,5,164,Bellegarde,"(I cannot precisely pinpoint it now that I've lost my Stigma, but I can see I will need to be prepared for trouble all the same.)","(I cannot precisely pinpoint it now that I've lost my<br/>Stigma, but I can see I will need to be prepared for<br/>trouble all the same.)",ベルガルド,（聖痕なき身ではしかと捉えきれぬが、   一応、備えておくとしよう。）,"<audio id=""v07_60025""><source src=""talk/11/v07_60025.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v07_60025').play()"">（聖痕なき身ではしかと捉えきれぬが、<br/>  一応、備えておくとしよう。）</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0006_out.webp""/>"
m7100,6,165,　,The party has been split into two. Adjust the equipment of individual members if necessary.,The party has been split into two. Adjust the<br/>equipment of individual members if necessary.,　,ＡＢチームが一旦分かれました。 必要なら装備等の編集を行ってください。,<C1>ＡＢチームが一旦分かれました。<br/>必要なら装備等の編集を行ってください。,,
m7100,6,166,　,"The expedition will begin with Team A, then it will switch between the two teams over the course of the dungeon.","The expedition will begin with Team A, then it will<br/>switch between the two teams over the course of<br/>the dungeon.",　,Ａチームの攻略から開始します。 攻略を進めると適宜チームが切り替わります。,<C1>Ａチームの攻略から開始します。<br/>攻略を進めると適宜チームが切り替わります。,,
m7100,7,167,Ferry,"Hey, guys!","Hey, guys!",フェリ,……！　ヴァンさんたち！,……！　ヴァンさんたち！,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,7,168,Aaron,"Got here at the same time, huh?","Got here at the same time, huh?",アーロン,チッ、同時だったか……！,チッ、同時だったか……！,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7100,7,169,Quatre,I'm exhausted after all that running...,I'm exhausted after all that running...,カトル,さ、流石に疲れたけど……,さ、流石に疲れたけど……,,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7100,7,170,Judith,I'm just glad we all made it here unharmed.,I'm just glad we all made it here unharmed.,ジュディス,フフ、とりあえず お互い全員無事みたいね。,フフ、とりあえず<br/>お互い全員無事みたいね。,,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m7100,7,171,Agnes,So am I.,So am I.,アニエス,はい、そちらこそ……！,はい、そちらこそ……！,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,7,172,Kincaid,I trust you didn't let any of our targets slip past you?,I trust you didn't let any of our targets slip past you?,キンケイド,取りこぼしは無いだろうな？,取りこぼしは無いだろうな？,,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,7,173,Van,Heh. The same question right back at you. Still...,Heh. The same question right back at you. Still...,ヴァン,こっちの台詞だっつの。 ………だが。,こっちの台詞だっつの。<br/>………だが。,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,7,174,Lisette,All of them appear to be behaving just as strangely as the ones from before.,All of them appear to be behaving just as strangely as<br/>the ones from before.,リゼット,やはり尋常ならざる様子、ですね。,やはり尋常ならざる様子、ですね。,,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7100,7,175,Semi-Gray,We're screwed. SCREWED!,We're screwed. SCREWED!,半グレ,ひいいっ…… もう、もうダメだああぁ……,ひいいっ……<br/>もう、もうダメだああぁ……,,
m7100,7,176,Semi-Gray,I-I want my mommy...,I-I want my mommy...,半グレ,母ちゃん…… ……助けてよ母ちゃん……,母ちゃん……<br/>……助けてよ母ちゃん……,,
m7100,7,177,mafia,"Please forgive us, boss... Please!","Please forgive us, boss... Please!",マフィア,うぁぁ……ボス…… ……赦してくださいぃ……,うぁぁ……ボス……<br/>……赦してくださいぃ……,,
m7100,7,178,mafia,"Melchior, sir, I'm begging you!","Melchior, sir, I'm begging you!",マフィア,メルキオル様も……！ ……どうか……どうかッッ……！,メルキオル様も……！<br/>……どうか……どうかッッ……！,,
m7100,7,179,Ferry,They've let their fear take control of them...,They've let their fear take control of them...,フェリ,完全に恐怖に呑み込まれて……,完全に恐怖に呑み込まれて……,,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,7,180,Aaron,Who do they even think they're talking to?,Who do they even think they're talking to?,アーロン,チッ…… どこに向かって言ってやがる！？,チッ……<br/>どこに向かって言ってやがる！？,,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7100,7,181,Agnes,"...! Be careful, everyone!","...! Be careful, everyone!",アニエス,……！ 皆さん、気をつけてください！,……！<br/>皆さん、気をつけてください！,,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,7,182,Van,Shit!,Shit!,ヴァン,……！　まさか！,……！　まさか！,,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,7,183,Semi-Gray,EEEEEEEEEK!,EEEEEEEEEK!,半グレ,ヒアアアアアアアアアアッ……！！,<S6>ヒアアアアアアアアアアッ……！！,,
m7100,7,184,mafia,AAAHH!,AAAHH!,マフィア,うおおおおおおおッ……！！,<S6>うおおおおおおおッ……！！,,
m7100,7,185,Ferry,Eeek!,Eeek!,フェリ,ひっ……？,"<audio id=""v02_60027""><source src=""talk/11/v02_60027.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v02_60027').play()"">ひっ……？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5003_out.webp""/>"
m7100,7,186,Quatre,Wh-What's happening...?,Wh-What's happening...?,カトル,な、なな、なにが………,"<audio id=""v05_60028""><source src=""talk/11/v05_60028.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v05_60028').play()"">な、なな、なにが………</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7100,7,187,Aaron,Ugh! Don't let it get the best of you!,Ugh! Don't let it get the best of you!,アーロン,グッ…… ……呑まれんじゃねえ……！,"<audio id=""v03_60024""><source src=""talk/11/v03_60024.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v03_60024').play()"">グッ……<br/>……呑まれんじゃねえ……！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7100,7,188,Judith,...,...,ジュディス,あ───………,"<audio id=""v06_60032""><source src=""talk/11/v06_60032.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v06_60032').play()"">あ───………</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5007_out.webp""/>"
m7100,7,189,Lisette,An arch...devil...?,An arch...devil...?,リゼット,……高位（アーク）……悪魔（デアボロス）……？,"<audio id=""v04_60037""><source src=""talk/11/v04_60037.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v04_60037').play()"">……高位（アーク）……悪魔（デアボロス）……？</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
m7100,7,190,,㌍㌫㌻㍊㌫㍊㌻㍊㌫㌻㍊㌻㍊㌫㍊㌻㍍,㌍㌫㌻㍊㌫㍊㌻㍊㌫㌻㍊㌻㍊㌫㍊㌻㍍,,㌍㌫㌻㍊㌫㍊㌻㍊㌫㌻㍊㌻㍊㌫㍊㌻㍍,"<audio id=""v999_60000""><source src=""talk/11/v999_60000.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v999_60000').play()"">㌍㌫㌻㍊㌫㍊㌻㍊㌫㌻㍊㌻㍊㌫㍊㌻㍍</a>",,
m7100,7,191,Van,Tch...,Tch...,ヴァン,─────────────,"<audio id=""v00_60020""><source src=""talk/11/v00_60020.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60020').play()"">─────────────</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,7,192,Agnes,(...Van?),(...Van?),アニエス,（ヴァン、さん……？）,"<audio id=""v01_60041""><source src=""talk/11/v01_60041.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v01_60041').play()"">（ヴァン、さん……？）</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5001_out.webp""/>"
m7100,7,193,Kincaid,"Pull yourself together, you mischief maker!","Pull yourself together, you<br/>mischief maker!",キンケイド,シャキっとしろ──悪たれヴァン！！,"<audio id=""v10_60027""><source src=""talk/11/v10_60027.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v10_60027').play()"">シャキっとしろ──悪たれヴァン！！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,7,194,Van,"...Got it, René, you pampered prince!","...Got it, René, you pampered prince!",ヴァン,っ…… わーってるっつの、ルネ坊ちゃん！,"<audio id=""v00_60021""><source src=""talk/11/v00_60021.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v00_60021').play()"">っ……<br/>わーってるっつの、ルネ坊ちゃん！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0000_out.webp""/>"
m7100,7,195,Kincaid,Don't you call me any part of that ever again!,Don't you call me any part of that ever again!,キンケイド,名前で呼ぶな！ それに坊ちゃんもだ！,"<audio id=""v10_60028""><source src=""talk/11/v10_60028.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v10_60028').play()"">名前で呼ぶな！<br/>それに坊ちゃんもだ！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0112_out.webp""/>"
m7100,7,196,Aaron,Damn it!,Damn it!,アーロン,クソが……！,"<audio id=""v03_60025""><source src=""talk/11/v03_60025.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v03_60025').play()"">クソが……！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0002_out.webp""/>"
m7100,7,197,Quatre,I refuse to lose to a being so unscientific!,I refuse to lose to a being so unscientific!,カトル,っ、非科学的存在には 負けられない……！,"<audio id=""v05_60029""><source src=""talk/11/v05_60029.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v05_60029').play()"">っ、非科学的存在には<br/>負けられない……！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc0004_out.webp""/>"
m7100,7,198,Lisette,We will back you up to the utmost of our abilities!,We will back you up to the utmost of our abilities!,リゼット,わたくしたちも 最大限のフォローを致します！,"<audio id=""v04_60038""><source src=""talk/11/v04_60038.opus"" type=""audio/ogg; codecs=opus""></audio><a href=""javascript:void(0)"" onclick=""document.getElementById('v04_60038').play()"">わたくしたちも<br/>最大限のフォローを致します！</a>",,"<img class=""itp-kuro"" src=""itp/11/avfc5005_out.webp""/>"
